route,ridership.x,ridership.y,ridership,total_trips
0,2604,336,2718,5658
0L,443,36,384,863
1,586,84,778,1448
10,1210,154,1328,2692
100,494,38,458,990
101D,4083,251,2209,6543
101E,6414,322,3290,10026
101H,2442,132,1254,3828
103W,2688,226,1763,4677
104L,302,29,246,577
105,2034,242,2272,4548
107R,1568,98,910,2576
109L,164,41,266,471
11,2082,268,2560,4910
112,282,26,318,626
113B,172,22,124,318
113G,1042,60,612,1714
116X,81,6,62,149
117N,1225,78,654,1957
12,3062,294,2675,6031
120E,222,24,238,484
120L,232,26,252,510
120W,337,52,426,815
120X,556,39,214,809
121,2668,278,2579,5525
130,1147,206,1800,3153
133,1008,140,1297,2445
135,427,46,458,931
139,230,18,276,524
14,940,122,1048,2110
15,3426,612,4369,8407
153,2294,306,2412,5012
15L,4006,524,3837,8367
16,3020,412,2906,6338
169,204,25,278,507
169L,124,12,136,272
19,945,120,936,2001
20,1380,186,1402,2968
21,2466,218,2458,5142
24,1245,74,916,2235
28,436,50,354,840
29,86,3,88,177
3,1904,207,1839,3950
30,103,14,201,318
31,3110,246,2397,5753
32,200,20,150,370
34,514,52,404,970
35,1196,157,1478,2831
36,192,24,226,442
37,474,40,320,834
38,1360,229,1862,3451
3L,330,46,414,790
4,446,43,398,887
40,2298,200,1992,4490
402L,336,47,396,779
42,2176,331,2635,5142
43,924,109,954,1987
44,1084,125,987,2196
45,820,120,928,1868
46,1120,200,1668,2988
48,772,83,568,1423
483,526,86,630,1242
49,207,25,175,407
51,1728,122,1582,3432
52,1728,257,2092,4077
520,262,136,1192,1590
59,242,23,281,546
6,2298,248,2280,4826
65,1806,220,1963,3989
66,336,32,265,633
72,253,30,302,585
73,760,86,782,1628
76,1906,208,2186,4300
8,544,72,640,1256
83D,1964,198,1992,4154
83L,1633,232,2100,3965
88,790,140,936,1866
88L,262,36,256,554
9,532,74,518,1124
92,875,56,722,1653
93L,270,32,382,684
99,966,130,1220,2316
A,3660,196,1684,5540
AB1,6,0,3,9
AT,131,2,45,178
CV,46,0,4,50
EV,4,0,2,6
FF1,916,61,416,1393
FF5,22,0,8,30
LD1,62,6,40,108
MALL,477,52,270,799
P,40,28,192,260
RX,96,6,46,148
TRLY,46,0,20,66
