GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08001008508,70,5672,1937,166,688,1061,1915,450,577,"list(list(c(-104.958888, -104.958158, -104.953298, -104.940188, -104.940179, -104.940174, -104.940177, -104.940237, -104.948226, -104.948913, -104.949578, -104.958839, -104.958888, 39.907543, 39.913941, 39.91391, 39.913949, 39.907607, 39.904092, 39.899373, 39.899371, 39.899404, 39.899401, 39.899398, 39.899467, 39.907543)))"
08001008526,84,6915,2760,258,748,1621,2627,650,990,"list(list(c(-104.988107, -104.978079, -104.967273, -104.959369, -104.959291, -104.959277, -104.965621, -104.965973, -104.965857, -104.965202, -104.968827, -104.97788, -104.987807, -104.987976, -104.988107, 39.957571, 39.957518, 39.957479, 39.957458, 39.942847, 39.941908, 39.932931, 39.930253, 39.929794, 39.928447, 39.928465, 39.928539, 39.928543, 39.943074, 39.957571)))"
08001009207,36,4760,1600,182,791,571,1544,231,579,"list(list(c(-104.958909, -104.949585, -104.941676, -104.940161, -104.940173, -104.942522, -104.943662, -104.947084, -104.949759, -104.954278, -104.958221, -104.958962, -104.958909, 39.877786, 39.877739, 39.877629, 39.87738, 39.871962, 39.870276, 39.867984, 39.867629, 39.868977, 39.868373, 39.869886, 39.870635, 39.877786)))"
08001009203,99,5220,1975,423,1065,357,1845,521,536,"list(list(c(-104.987679, -104.987675, -104.98767, -104.98765, -104.982214, -104.977891, -104.977626, -104.977627, -104.977647, -104.977665, -104.977699, -104.977705, -104.977761, -104.977825, -104.983745, -104.987015, -104.98725, -104.987653, -104.98768, -104.987679, 39.868138, 39.874899, 39.880665, 39.885341, 39.885269, 39.88524, 39.885239, 39.885049, 39.88138, 39.8779, 39.870724, 39.86939, 39.864002, 39.856333, 39.856333, 39.856311, 39.856309, 39.858585, 39.867996, 39.868138)))"
08001008507,117,6703,2028,113,720,1078,1911,283,509,"list(list(c(-104.977777, -104.968453, -104.967938, -104.958604, -104.958158, -104.958888, -104.958839, -104.966336, -104.966387, -104.971419, -104.977567, -104.97762, -104.977679, -104.977692, -104.977709, -104.977777, 39.914152, 39.91405, 39.914047, 39.913945, 39.913941, 39.907543, 39.899467, 39.899523, 39.899523, 39.899577, 39.899617, 39.902992, 39.906417, 39.907234, 39.908583, 39.914152)))"
08001009316,34,7372,2402,475,1128,625,2228,487,654,"list(list(c(-105.025015, -105.020246, -105.015522, -105.014241, -105.012931, -105.010791, -105.005579, -105.005583, -105.004757, -105.002035, -104.99982, -104.99659, -104.996588, -104.996565, -104.996544, -104.996543, -105.005997, -105.010745, -105.01529, -105.01796, -105.019698, -105.025008, -105.025015, 39.870815, 39.870818, 39.870822, 39.870931, 39.872033, 39.872384, 39.870845, 39.874235, 39.874197, 39.873316, 39.872654, 39.872659, 39.872203, 39.866535, 39.863576, 39.863429, 39.863489, 39.863483, 
39.863479, 39.863477, 39.863509, 39.863492, 39.870815)))"
08001008533,96,8035,3035,187,1309,1402,2898,938,754,"list(list(c(-104.966387, -104.966336, -104.958839, -104.949578, -104.948913, -104.948226, -104.940237, -104.940177, -104.940183, -104.940181, -104.940181, -104.940165, -104.940325, -104.94458, -104.945923, -104.946122, -104.946588, -104.957671, -104.95892, -104.962588, -104.962658, -104.96465, -104.966189, -104.966428, -104.966387, 39.899523, 39.899523, 39.899467, 39.899398, 39.899401, 39.899404, 39.899371, 39.899373, 39.893974, 39.89226, 39.892116, 39.884978, 39.884983, 39.885008, 39.885025, 39.885027, 
39.885033, 39.885025, 39.885117, 39.885176, 39.887386, 39.8906, 39.892998, 39.894894, 39.899523)))"
08001015000,70,2984,1170,340,573,257,1170,448,309,"list(list(c(-104.987776, -104.986532, -104.984392, -104.983372, -104.983178, -104.983169, -104.983196, -104.98358, -104.978116, -104.977883, -104.968179, -104.959118, -104.959033, -104.95888, -104.957759, -104.956033, -104.955028, -104.954982, -104.955654, -104.954328, -104.954139, -104.949811, -104.940259, -104.938009, -104.938266, -104.937899, -104.938809, -104.943033, -104.944262, -104.946945, -104.948219, -104.949529, -104.948485, -104.948161, -104.948536, -104.948653, -104.948861, -104.950839, 
-104.950547, -104.950605, -104.950771, -104.950997, -104.95111, -104.952347, -104.958451, -104.958855, -104.959454, -104.95724, -104.962527, -104.96572, -104.966636, -104.968765, -104.968716, -104.973143, -104.973243, -104.972213, -104.974847, -104.974838, -104.973245, -104.973235, -104.976057, -104.97595, -104.988835, -104.987776, 39.795618, 39.798706, 39.802835, 39.80585, 39.82091, 39.823762, 39.828046, 39.8345, 39.834055, 39.838128, 39.838126, 39.838091, 39.842008, 39.842849, 39.844157, 39.846119, 
39.848853, 39.849323, 39.851645, 39.852087, 39.856159, 39.856109, 39.855951, 39.856089, 39.855329, 39.851597, 39.846307, 39.843729, 39.841622, 39.839179, 39.838761, 39.837852, 39.835947, 39.830746, 39.829741, 39.827897, 39.82424, 39.817189, 39.816369, 39.815757, 39.815245, 39.814959, 39.814875, 39.813381, 39.8123, 39.811913, 39.808396, 39.803875, 39.797676, 39.795242, 39.793837, 39.79384, 39.798396, 39.798292, 39.796302, 39.795564, 39.79561, 39.794226, 39.794131, 39.79247, 39.792301, 39.791038, 39.791086, 
39.795618)))"
08001009321,26,4031,1381,219,660,362,1241,262,385,"list(list(c(-105.025097, -105.025073, -105.02502, -105.015517, -105.015517, -105.015515, -105.015532, -105.015518, -105.015522, -105.020246, -105.025015, -105.025099, -105.025097, 39.875581, 39.878336, 39.885214, 39.885247, 39.885061, 39.881076, 39.877975, 39.875588, 39.870822, 39.870818, 39.870815, 39.875196, 39.875581)))"
08001009104,35,6355,2035,262,787,934,1983,353,638,"list(list(c(-104.954489, -104.953757, -104.947084, -104.943662, -104.942522, -104.940173, -104.940161, -104.939437, -104.931354, -104.931355, -104.931353, -104.931334, -104.931332, -104.93131, -104.931305, -104.931268, -104.931315, -104.938037, -104.940234, -104.940259, -104.949811, -104.954139, -104.954489, 39.856159, 39.857799, 39.867629, 39.867984, 39.870276, 39.871962, 39.87738, 39.877587, 39.877908, 39.877821, 39.877694, 39.876119, 39.875984, 39.874164, 39.873732, 39.870635, 39.867274, 39.85876, 
39.858659, 39.855951, 39.856109, 39.856159, 39.856159)))"
08001009202,36,4554,1524,163,781,466,1410,250,399,"list(list(c(-104.977761, -104.977705, -104.977699, -104.972406, -104.971683, -104.970745, -104.968249, -104.967644, -104.961817, -104.961232, -104.959578, -104.95988, -104.965352, -104.966227, -104.967488, -104.968065, -104.969524, -104.968209, -104.966611, -104.967276, -104.968362, -104.977825, -104.977761, 39.864002, 39.86939, 39.870724, 39.871437, 39.871181, 39.870824, 39.870709, 39.870708, 39.870665, 39.868757, 39.86871, 39.866596, 39.866143, 39.86313, 39.86239, 39.861113, 39.860328, 39.858485, 
39.857427, 39.856234, 39.856254, 39.856333, 39.864002)))"
08001009206,11,2340,848,115,299,434,848,250,281,"list(list(c(-104.95892, -104.957671, -104.946588, -104.946122, -104.945923, -104.94458, -104.940325, -104.940165, -104.940161, -104.941676, -104.949585, -104.958909, -104.95892, 39.885117, 39.885025, 39.885033, 39.885027, 39.885025, 39.885008, 39.884983, 39.884978, 39.87738, 39.877629, 39.877739, 39.877786, 39.885117)))"
08001008540,38,8029,2702,25,472,2082,2579,402,640,"list(list(c(-104.922064, -104.921893, -104.921822, -104.920806, -104.920594, -104.919103, -104.912658, -104.912573, -104.911366, -104.911658, -104.90458, -104.904385, -104.90395, -104.903479, -104.903291, -104.903041, -104.901563, -104.90059, -104.900304, -104.899318, -104.899225, -104.899474, -104.899729, -104.893305, -104.893287, -104.891635, -104.884283, -104.884411, -104.884049, -104.881419, -104.868156, -104.865851, -104.859012, -104.859644, -104.857154, -104.859994, -104.859831, -104.861378, 
-104.859624, -104.859786, -104.863987, -104.865112, -104.864039, -104.864447, -104.866423, -104.866356, -104.867423, -104.872309, -104.87463, -104.883737, -104.884078, -104.885013, -104.903055, -104.921886, -104.921978, -104.922022, -104.92203, -104.922064, 39.957441, 39.957433, 39.957552, 39.957506, 39.957478, 39.95741, 39.957488, 39.947473, 39.946386, 39.948, 39.949469, 39.949383, 39.949135, 39.948921, 39.948857, 39.948729, 39.947916, 39.947706, 39.947794, 39.949172, 39.949639, 39.949709, 39.950165, 
39.951003, 39.943109, 39.943113, 39.943138, 39.950363, 39.955747, 39.954949, 39.952179, 39.951267, 39.947108, 39.94687, 39.944877, 39.943099, 39.938264, 39.935153, 39.933397, 39.932244, 39.931708, 39.931038, 39.929198, 39.928191, 39.927216, 39.92456, 39.922782, 39.924747, 39.925072, 39.925048, 39.928772, 39.928657, 39.928581, 39.928462, 39.943013, 39.950129, 39.952011, 39.957441)))"
08001060000,74,6338,2228,59,648,1500,2207,399,723,"list(list(c(-105.015845, -104.997423, -104.997398, -104.999476, -104.998404, -104.998389, -104.997379, -104.997118, -104.988159, -104.988108, -104.997065, -104.99708, -104.99438, -104.994411, -104.98811, -104.987784, -104.987762, -104.987598, -104.977487, -104.973182, -104.969982, -104.96848, -104.9594, -104.959409, -104.955884, -104.95503, -104.949875, -104.948893, -104.922034, -104.922029, -104.922019, -104.921995, -104.922064, -104.931472, -104.932907, -104.940274, -104.956488, -104.959369, -104.967273, 
-104.978079, -104.988107, -104.997018, -105.003842, -105.009059, -105.010699, -105.010972, -105.015481, -105.015653, -105.015691, -105.013423, -105.013409, -105.015722, -105.015845, 39.981193, 39.981213, 39.97842, 39.978416, 39.977586, 39.975805, 39.975785, 39.968528, 39.968466, 39.972175, 39.972149, 39.973954, 39.973953, 39.975803, 39.975747, 39.975746, 39.981534, 39.986619, 39.986548, 39.986551, 39.986677, 39.986678, 39.986554, 39.979308, 39.979104, 39.979252, 39.979236, 39.979228, 39.978982, 39.977628, 
39.975487, 39.971867, 39.957441, 39.957389, 39.957382, 39.957381, 39.95744, 39.957458, 39.957479, 39.957518, 39.957571, 39.95763, 39.957684, 39.957704, 39.957711, 39.957712, 39.957723, 39.957724, 39.970437, 39.970448, 39.972265, 39.972276, 39.981193)))"
08001009318,103,6254,2275,686,1149,395,2230,763,599,"list(list(c(-105.005997, -104.996543, -104.996528, -104.996532, -104.99654, -105.005971, -105.00596, -105.005951, -105.005968, -105.005997, 39.863489, 39.863429, 39.856343, 39.852667, 39.849063, 39.849052, 39.852602, 39.856275, 39.859745, 39.863489)))"
08001008529,187,7446,3529,366,1697,1307,3370,1227,1158,"list(list(c(-104.987921, -104.987807, -104.97788, -104.968827, -104.965202, -104.963836, -104.959085, -104.949534, -104.946861, -104.943787, -104.940213, -104.940188, -104.940186, -104.940188, -104.953298, -104.958158, -104.958604, -104.967938, -104.968453, -104.977777, -104.986556, -104.987089, -104.98987, -104.987921, 39.919377, 39.928543, 39.928539, 39.928465, 39.928447, 39.928487, 39.928477, 39.928946, 39.927078, 39.928133, 39.92835, 39.920913, 39.918403, 39.913949, 39.91391, 39.913941, 39.913945, 
39.914047, 39.91405, 39.914152, 39.914149, 39.914162, 39.914064, 39.919377)))"
08001009103,33,4435,1255,164,685,299,1148,147,213,"list(list(c(-104.940234, -104.938037, -104.931315, -104.931268, -104.931305, -104.93131, -104.931332, -104.931334, -104.931353, -104.931355, -104.931354, -104.939437, -104.940161, -104.940165, -104.938338, -104.928025, -104.927601, -104.917314, -104.912896, -104.912709, -104.908207, -104.903092, -104.902238, -104.901559, -104.902078, -104.902496, -104.90306, -104.903311, -104.903327, -104.903889, -104.904895, -104.90711, -104.907867, -104.910368, -104.912496, -104.913508, -104.914512, -104.916115, 
-104.919218, -104.920305, -104.922001, -104.927748, -104.928581, -104.928809, -104.927905, -104.929547, -104.929719, -104.930213, -104.930583, -104.93096, -104.93154, -104.934666, -104.935385, -104.935942, -104.936198, -104.936662, -104.937165, -104.938009, -104.940259, -104.940234, 39.858659, 39.85876, 39.867274, 39.870635, 39.873732, 39.874164, 39.875984, 39.876119, 39.877694, 39.877821, 39.877908, 39.877587, 39.87738, 39.884978, 39.884922, 39.885178, 39.885183, 39.885242, 39.885239, 39.885239, 
39.885239, 39.88524, 39.885241, 39.883538, 39.881654, 39.881069, 39.881078, 39.881077, 39.879773, 39.878075, 39.876202, 39.874484, 39.874357, 39.874375, 39.874403, 39.874236, 39.873629, 39.872098, 39.870449, 39.86866, 39.866048, 39.864939, 39.864223, 39.863395, 39.860181, 39.858029, 39.85785, 39.857645, 39.857589, 39.857594, 39.857749, 39.858106, 39.858073, 39.858, 39.857912, 39.857667, 39.857475, 39.856089, 39.855951, 39.858659)))"
08001008550,55,8220,2760,176,737,1720,2633,510,727,"list(list(c(-104.940188, -104.932755, -104.927849, -104.921904, -104.917731, -104.903052, -104.903182, -104.906109, -104.907266, -104.910345, -104.913152, -104.91548, -104.917641, -104.918206, -104.921817, -104.922, -104.92209, -104.92967, -104.940177, -104.940174, -104.940179, -104.940188, 39.913949, 39.913975, 39.914, 39.914034, 39.914066, 39.914284, 39.910221, 39.908015, 39.907091, 39.903953, 39.901186, 39.899732, 39.899778, 39.899745, 39.899749, 39.899749, 39.899747, 39.899583, 39.899373, 39.904092, 
39.907607, 39.913949)))"
08001009304,33,5756,2108,203,1048,843,2094,501,598,"list(list(c(-105.005581, -105.005574, -104.999949, -104.996601, -104.99325, -104.98765, -104.98767, -104.987675, -104.987679, -104.98768, -104.987653, -104.98725, -104.996528, -104.996543, -104.996544, -104.996565, -104.996588, -104.99659, -104.99982, -105.002035, -105.004757, -105.005583, -105.005581, 39.878611, 39.885258, 39.885263, 39.885271, 39.885282, 39.885341, 39.880665, 39.874899, 39.868138, 39.867996, 39.858585, 39.856309, 39.856343, 39.863429, 39.863576, 39.866535, 39.872203, 39.872659, 
39.872654, 39.873316, 39.874197, 39.874235, 39.878611)))"
08001009001,264,4420,1537,314,635,515,1464,346,378,"list(list(c(-104.987015, -104.983745, -104.977825, -104.968362, -104.967276, -104.959091, -104.954489, -104.954139, -104.954328, -104.955654, -104.954982, -104.957405, -104.958385, -104.963394, -104.968368, -104.96837, -104.970928, -104.972269, -104.977352, -104.977808, -104.977809, -104.985471, -104.98571, -104.986513, -104.98725, -104.987015, 39.856311, 39.856333, 39.856333, 39.856254, 39.856234, 39.856188, 39.856159, 39.856159, 39.852087, 39.851645, 39.849323, 39.849616, 39.849319, 39.849345, 
39.849367, 39.849305, 39.849324, 39.84992, 39.849142, 39.849025, 39.849077, 39.849073, 39.849077, 39.852697, 39.856309, 39.856311)))"
08001008545,55,7138,2248,84,423,1696,2203,240,841,"list(list(c(-104.965973, -104.965621, -104.959277, -104.959291, -104.951357, -104.940315, -104.940275, -104.940243, -104.940234, -104.940254, -104.94023, -104.940213, -104.943787, -104.946861, -104.949534, -104.959085, -104.963836, -104.965202, -104.965857, -104.965973, 39.930253, 39.932931, 39.941908, 39.942847, 39.942895, 39.942834, 39.942834, 39.942834, 39.939682, 39.935684, 39.934028, 39.92835, 39.928133, 39.927078, 39.928946, 39.928477, 39.928487, 39.928447, 39.929794, 39.930253)))"
08001009204,20,6836,2646,189,1094,1363,2646,691,1043,"list(list(c(-104.977665, -104.977647, -104.977627, -104.977626, -104.962588, -104.95892, -104.958909, -104.958962, -104.961817, -104.967644, -104.968249, -104.970745, -104.971683, -104.972406, -104.977699, -104.977665, 39.8779, 39.88138, 39.885049, 39.885239, 39.885176, 39.885117, 39.877786, 39.870635, 39.870665, 39.870708, 39.870709, 39.870824, 39.871181, 39.871437, 39.870724, 39.8779)))"
08001009322,149,5296,1747,300,829,542,1671,410,450,"list(list(c(-105.015532, -105.015515, -105.015517, -105.015517, -105.007441, -105.005574, -105.005581, -105.005583, -105.005579, -105.010791, -105.012931, -105.014241, -105.015522, -105.015518, -105.015532, 39.877975, 39.881076, 39.885061, 39.885247, 39.885283, 39.885258, 39.878611, 39.874235, 39.870845, 39.872384, 39.872033, 39.870931, 39.870822, 39.875588, 39.877975)))"
