from_id,percentile,cutoff,accessibility
08001008801,50,15,1428
08001007801,50,15,1536
08059012039,50,15,283
08031004103,50,15,331
08031004201,50,15,1074
08005087000,50,15,1547
08031004002,50,15,447
08005082400,50,15,478
08005005635,50,15,1108
08059010210,50,15,190
08059011805,50,15,2897
08031002703,50,15,11962
08005085000,50,15,1598
08005007704,50,15,96
08005084200,50,15,374
08005084000,50,15,513
08059012049,50,15,259
08031004503,50,15,184
08005006601,50,15,1237
08005083400,50,15,615
08059009832,50,15,1196
08059011701,50,15,3916
08059010604,50,15,1420
08005081100,50,15,5067
08014031000,50,15,620
08001008546,50,15,267
08005080200,50,15,1879
08031015400,50,15,2204
08031002802,50,15,3446
08031008391,50,15,74
08031004202,50,15,1058
08001008100,50,15,27196
08059011730,50,15,156
08001008508,50,15,620
08014030400,50,15,290
08005005631,50,15,539
08005083000,50,15,149
08031002402,50,15,4116
08005006711,50,15,1667
08001008526,50,15,3672
08001009325,50,15,3139
08031001102,50,15,4698
08001009327,50,15,57
08005084500,50,15,181
08031980100,50,15,12508
08005084100,50,15,194
08035014113,50,15,281
08031004405,50,15,5346
08005085400,50,15,785
08005080300,50,15,4592
08031006813,50,15,1594
08031015500,50,15,2986
08059011602,50,15,1856
08031004506,50,15,889
08031005300,50,15,5749
08093000400,50,15,131
08093000200,50,15,213
08031001902,50,15,6343
08031008305,50,15,47
08001009306,50,15,466
08059011550,50,15,2670
08059011951,50,15,105
08031001901,50,15,6049
08031012001,50,15,182
08031003003,50,15,704
08031005102,50,15,1366
08001009309,50,15,227
08035014110,50,15,931
08001008549,50,15,77
08005005800,50,15,1379
08059011401,50,15,1382
08031004304,50,15,1611
08031004303,50,15,1107
08059010504,50,15,795
08059011202,50,15,2765
08059010701,50,15,715
08059012054,50,15,3951
08005005628,50,15,1132
08005005700,50,15,4034
08005006200,50,15,3077
08005006708,50,15,1298
08005007703,50,15,598
08001009501,50,15,883
08001009607,50,15,3298
08035014300,50,15,109
08059012047,50,15,324
08005006502,50,15,3722
08031004504,50,15,149
08031008306,50,15,241
08001009502,50,15,2490
08031001401,50,15,3634
08014980100,50,15,0
08005085700,50,15,443
08005006712,50,15,28228
08059011300,50,15,730
08059012059,50,15,348
08005081500,50,15,1463
08031002701,50,15,43081
08031004700,50,15,623
08005006100,50,15,590
08005080500,50,15,1695
08059010212,50,15,960
08031003601,50,15,631
08001009326,50,15,343
08001009603,50,15,1362
08005005614,50,15,974
08001007802,50,15,726
08059012060,50,15,103
08005006858,50,15,24441
08001009101,50,15,349
08031007037,50,15,1223
08005084800,50,15,78
08005082800,50,15,324
08001008709,50,15,15401
08035014124,50,15,374
08001008524,50,15,675
08031001302,50,15,2031
08014030000,50,15,703
08059009847,50,15,904
08005082700,50,15,431
08001009410,50,15,292
08001009604,50,15,2046
08031002403,50,15,2352
08001008548,50,15,95
08001009408,50,15,2116
08014030800,50,15,1097
08031000303,50,15,1747
08005087100,50,15,1585
08059011723,50,15,2378
08035014129,50,15,215
08001008200,50,15,2979
08001009608,50,15,923
08059012044,50,15,1349
08059011729,50,15,1308
08031004004,50,15,343
08031000102,50,15,2129
08005007201,50,15,524
08031004301,50,15,9145
08005006713,50,15,6207
08059011804,50,15,821
08005085600,50,15,232
08005007301,50,15,682
08014030300,50,15,2875
08059012051,50,15,960
08005007600,50,15,956
08035014114,50,15,2931
08059009831,50,15,3201
08005086900,50,15,1820
08001009409,50,15,566
08059012052,50,15,488
08031005001,50,15,1168
08001009207,50,15,254
08019014700,50,15,647
08031002901,50,15,6869
08031000905,50,15,223
08059011720,50,15,1520
08031001800,50,15,12182
08031001600,50,15,13100
08059009833,50,15,603
08001009606,50,15,595
08059010306,50,15,847
08059980000,50,15,3169
08059010902,50,15,5625
08001008706,50,15,675
08031006811,50,15,2179
08031000701,50,15,681
08031003402,50,15,1078
08031003702,50,15,1918
08031000401,50,15,567
08059012042,50,15,594
08005005626,50,15,1948
08005086200,50,15,691
08005004951,50,15,777
08035014115,50,15,551
08031002601,50,15,31617
08019014900,50,15,1979
08031000702,50,15,1426
08059010901,50,15,4233
08031004505,50,15,772
08001008544,50,15,425
08001009752,50,15,819
08059012058,50,15,385
08031000202,50,15,1078
08059011708,50,15,443
08059010303,50,15,536
08031005104,50,15,4195
08005006815,50,15,6711
08031000502,50,15,592
08031005502,50,15,1772
08031003703,50,15,2568
08001009203,50,15,5240
08031008312,50,15,2511
08014031100,50,15,22143
08005006704,50,15,888
08031007089,50,15,219
08035014139,50,15,975
08005082000,50,15,5974
08035014130,50,15,511
08035014127,50,15,331
08059010702,50,15,464
08059012055,50,15,781
08005087300,50,15,1875
08001009308,50,15,1036
08031008390,50,15,271
08093000500,50,15,278
08059010100,50,15,17586
08059010208,50,15,1125
08039961206,50,15,359
08059012036,50,15,7122
08005085900,50,15,263
08035014203,50,15,676
08031004801,50,15,744
08005005627,50,15,652
08059011728,50,15,344
08005005633,50,15,1642
08005083700,50,15,847
08059011711,50,15,815
08059009834,50,15,1066
08005006604,50,15,853
08005005620,50,15,1315
08005083500,50,15,749
08001009319,50,15,208
08001008507,50,15,329
08014030100,50,15,627
08005081200,50,15,1399
08001008705,50,15,913
08005005611,50,15,1253
08031012014,50,15,1699
08059012037,50,15,568
08005005623,50,15,1376
08005005553,50,15,1439
08005086300,50,15,1643
08001009307,50,15,696
08001009401,50,15,1802
08031004306,50,15,626
08031003201,50,15,2428
08031004403,50,15,407
08031005200,50,15,2044
08005007104,50,15,2691
08005007101,50,15,585
08005006709,50,15,12825
08001008901,50,15,3752
08035014406,50,15,2157
08031004603,50,15,532
08035014123,50,15,3854
08005005629,50,15,1754
08031008387,50,15,68
08005084400,50,15,42
08001008309,50,15,13362
08059010406,50,15,4006
08035014007,50,15,12598
08035013907,50,15,1850
08005081000,50,15,8474
08001008402,50,15,626
08059012030,50,15,633
08031001402,50,15,222
08031001403,50,15,4144
08014030500,50,15,766
08059010205,50,15,130
08059012032,50,15,815
08059011803,50,15,876
08059060500,50,15,7325
08059009848,50,15,1277
08059012035,50,15,1992
08005082300,50,15,356
08005082200,50,15,464
08059011732,50,15,3607
08001008543,50,15,1203
08031001301,50,15,881
08005006501,50,15,4925
08031000903,50,15,482
08005080600,50,15,908
08031006810,50,15,2389
08001060200,50,15,5833
08001008604,50,15,510
08001009316,50,15,539
08005007106,50,15,119
08005082100,50,15,898
08059011726,50,15,1199
08005081800,50,15,1197
08005082900,50,15,59
08035014116,50,15,11932
08031004003,50,15,1463
08035014137,50,15,739
08031003602,50,15,1545
08035014013,50,15,509
08035014134,50,15,568
08001008533,50,15,1406
08005006000,50,15,5605
08001009406,50,15,1883
08001015000,50,15,14448
08001009323,50,15,3080
08031007006,50,15,269
08031004102,50,15,8537
08059012026,50,15,495
08031003203,50,15,1323
08059010304,50,15,341
08005081300,50,15,1037
08059010403,50,15,3295
08005083100,50,15,149
08059009840,50,15,1067
08001009321,50,15,660
08059010000,50,15,7986
08031015700,50,15,221
08059009843,50,15,1889
08005005625,50,15,233
08005006400,50,15,2038
08035014202,50,15,544
08014031300,50,15,267
08059012045,50,15,244
08031002000,50,15,17191
08005081600,50,15,1381
08035013910,50,15,273
08059009806,50,15,3335
08059009815,50,15,427
08001009104,50,15,210
08059011710,50,15,179
08001009202,50,15,1716
08001009206,50,15,499
08059012027,50,15,626
08059009835,50,15,153
08031011903,50,15,277
08001008540,50,15,878
08035014005,50,15,387
08005086400,50,15,256
08031000201,50,15,1985
08059010402,50,15,5171
08019014800,50,15,934
08031005503,50,15,344
08014030200,50,15,2946
08005007105,50,15,12
08031004106,50,15,15334
08031004107,50,15,8758
08005005634,50,15,8127
08059011727,50,15,956
08059060300,50,15,352
08035014125,50,15,7358
08059009827,50,15,3013
08031006901,50,15,2895
08001008505,50,15,729
08001008506,50,15,6901
08031003300,50,15,905
08005087200,50,15,1553
08031012010,50,15,1886
08059015900,50,15,354
08031004104,50,15,692
08031002702,50,15,17800
08005005952,50,15,458
08005083800,50,15,286
08035014131,50,15,11672
08035014001,50,15,12057
08005006705,50,15,562
08059012038,50,15,341
08005005621,50,15,356
08059010209,50,15,557
08005085100,50,15,312
08059009851,50,15,1694
08059011806,50,15,1154
08031005002,50,15,3072
08031000902,50,15,309
08031002300,50,15,1543
08005084300,50,15,469
08005085500,50,15,197
08031003101,50,15,8713
08031004602,50,15,601
08035014112,50,15,103
08014031200,50,15,5545
08001007900,50,15,1118
08001008308,50,15,4060
08005007202,50,15,225
08005007702,50,15,224
08035014405,50,15,438
08059010502,50,15,4740
08059010603,50,15,2147
08059010213,50,15,1838
08005086600,50,15,456
08001060000,50,15,2603
08059009837,50,15,590
08059009845,50,15,1657
08035014503,50,15,8712
08059010801,50,15,835
08031008386,50,15,300
08005007400,50,15,5906
08059012048,50,15,915
08005006856,50,15,34734
08059009828,50,15,1071
08059012034,50,15,301
08035014204,50,15,274
08005005630,50,15,980
08005005951,50,15,6011
08035014602,50,15,13
08035013911,50,15,565
08005084600,50,15,856
08005007302,50,15,1776
08005005552,50,15,2129
08031003500,50,15,7121
08005006857,50,15,892
08035014136,50,15,2059
08047013800,50,15,4583
08005006706,50,15,687
08031003001,50,15,2535
08059009852,50,15,3412
08059011724,50,15,350
08005006603,50,15,295
08014980200,50,15,21
08031006812,50,15,2375
08035014133,50,15,534
08005081700,50,15,470
08035014107,50,15,1274
08001009407,50,15,2475
08005081900,50,15,369
08031000904,50,15,150
08031004006,50,15,1004
08001008534,50,15,193
08001008603,50,15,825
08001008605,50,15,3593
08035014505,50,15,1583
08001009002,50,15,839
08001008606,50,15,4269
08005005632,50,15,3355
08005006707,50,15,7003
08059011402,50,15,2263
08059011601,50,15,1807
08005086000,50,15,336
08001060100,50,15,1658
08035014603,50,15,245
08005006854,50,15,8686
08005082500,50,15,51
08001008539,50,15,1129
08031007013,50,15,921
08031004101,50,15,6166
08035014010,50,15,1573
08093000100,50,15,0
08035014128,50,15,618
08001009318,50,15,985
08005084700,50,15,328
08001009751,50,15,1502
08005086500,50,15,891
08005015100,50,15,296
08005080100,50,15,1289
08031001000,50,15,5803
08059011731,50,15,507
08059010305,50,15,1266
08059012043,50,15,857
08059009900,50,15,3158
08059012022,50,15,974
08005085300,50,15,405
08005006855,50,15,8697
08031015300,50,15,3508
08035014006,50,15,425
08059012046,50,15,769
08031003202,50,15,2020
08039961100,50,15,0
08039961207,50,15,585
08039961205,50,15,45
08059010503,50,15,1837
08059009808,50,15,2509
08059009839,50,15,861
08059009842,50,15,2281
08014030600,50,15,156
08035014109,50,15,649
08035013909,50,15,1138
08001008542,50,15,1119
08031002100,50,15,9990
08001009411,50,15,618
08005005612,50,15,1585
08031002602,50,15,25170
08031003004,50,15,8488
08014980300,50,15,0
08001009553,50,15,8857
08001008538,50,15,563
08035014604,50,15,223
08001008529,50,15,5598
08031003603,50,15,1176
08059011712,50,15,298
08059011721,50,15,739
08031003901,50,15,3547
08014030700,50,15,239
08001008401,50,15,1097
08001008547,50,15,563
08001009320,50,15,2451
08001009103,50,15,121
08031003002,50,15,3575
08059009807,50,15,4566
08059009823,50,15,126
08031015600,50,15,3958
08005005624,50,15,1197
08059009824,50,15,542
08031000501,50,15,455
08059012023,50,15,289
08005007103,50,15,447
08059009836,50,15,551
08059060400,50,15,7658
08031003800,50,15,15256
08031006804,50,15,17665
08035014135,50,15,3
08005004952,50,15,11408
08031002801,50,15,6963
08035014404,50,15,15
08059011709,50,15,383
08005083200,50,15,513
08031001701,50,15,47740
08005080700,50,15,4605
08059980400,50,15,188
08031000302,50,15,1077
08031008304,50,15,52
08059011725,50,15,74
08005007500,50,15,722
08001008523,50,15,5660
08001008353,50,15,10581
08031006814,50,15,1785
08001988700,50,15,0
08031008388,50,15,2288
08005006808,50,15,446
08031002902,50,15,4887
08031006701,50,15,2748
08035013908,50,15,452
08035014140,50,15,648
08005006300,50,15,454
08001008541,50,15,575
08059009850,50,15,529
08001008550,50,15,304
08001008537,50,15,2131
08059012041,50,15,736
08035014506,50,15,372
08093000300,50,15,823
08005080900,50,15,406
08035014011,50,15,864
08035014009,50,15,887
08035014132,50,15,479
08035013905,50,15,3248
08001061200,50,15,1360
08005005636,50,15,139
08005084900,50,15,1504
08005005622,50,15,599
08031003701,50,15,1958
08059009838,50,15,921
08031007088,50,15,492
08039961209,50,15,464
08005007107,50,15,4827
08031003401,50,15,393
08059011100,50,15,9737
08005086800,50,15,832
08014030900,50,15,550
08035013901,50,15,3950
08031004404,50,15,703
08031003902,50,15,6869
08059009841,50,15,712
08035014108,50,15,750
08059011702,50,15,1249
08035014138,50,15,2797
08001009304,50,15,1414
08035014012,50,15,2696
08005085200,50,15,271
08035014008,50,15,1059
08059009830,50,15,453
08031008389,50,15,1229
08005080400,50,15,7333
08059010308,50,15,2304
08001008000,50,15,529
08005085800,50,15,28
08035013904,50,15,5650
08031003102,50,15,10304
08059015800,50,15,3982
08039961204,50,15,801
08005080800,50,15,445
08031004005,50,15,1487
08001008535,50,15,5698
08031004601,50,15,673
08059011733,50,15,6869
08059010307,50,15,633
08059011000,50,15,2022
08059011904,50,15,4947
08035014126,50,15,1684
08005086100,50,15,266
08031000402,50,15,3266
08035014403,50,15,1919
08001009310,50,15,199
08031001702,50,15,101291
08001008536,50,15,176
08031000600,50,15,3936
08059012053,50,15,968
08031002803,50,15,1720
08005081400,50,15,5261
08059010211,50,15,831
08031000301,50,15,2633
08001008551,50,15,68
08059009849,50,15,4918
08005082600,50,15,783
08001009001,50,15,2231
08001008802,50,15,7238
08031006809,50,15,3664
08005005551,50,15,8158
08059012031,50,15,577
08059009846,50,15,2010
08031000800,50,15,4638
08001008545,50,15,501
08005083300,50,15,756
08059012057,50,15,1325
08005005619,50,15,517
08059010405,50,15,4725
08005086700,50,15,752
08001009204,50,15,1090
08031980000,50,15,3120
08031004302,50,15,4399
08005083600,50,15,419
08031011902,50,15,435
08001009322,50,15,687
08005083900,50,15,448
08031001101,50,15,932
08014031400,50,15,335
08035014504,50,15,4893
08035014122,50,15,1695
08059012033,50,15,653
08005080000,50,15,604
08059012050,50,15,2105
08059012024,50,15,5616
08039961208,50,15,1424
08059009829,50,15,437
08059010206,50,15,1529
08031001500,50,15,7129
